SRA_ID	Name	BioProject	SNPversity ID
ERR10235200	S50676	PRJEB56265	S50676_ERR10235200
ERR10235203	S68911	PRJEB56265	S68911_ERR10235203
ERR10238125	S160	PRJEB56265	S160_ERR10238125
ERR10288611	YU796NS	PRJEB56320	YU796NS_ERR10288611
ERR10288612	YELLOW3-4	PRJEB56320	YELLOW3-4_ERR10288612
ERR10288613	W816G	PRJEB56320	W816G_ERR10288613
ERR10288614	W818G	PRJEB56320	W818G_ERR10288614
ERR10288615	VA52	PRJEB56320	VA52_ERR10288615
ERR10288616	YONG28	PRJEB56320	YONG28_ERR10288616
ERR10288617	W601S	PRJEB56320	W601S_ERR10288617
ERR10288618	YANG	PRJEB56320	YANG_ERR10288618
ERR10288619	SD15	PRJEB56320	SD15_ERR10288619
ERR10288620	T141	PRJEB56320	T141_ERR10288620
ERR10288621	YE-CHI-HUNG	PRJEB56320	YE-CHI-HUNG_ERR10288621
ERR10288622	W802G	PRJEB56320	W802G_ERR10288622
ERR10288623	W703	PRJEB56320	W703_ERR10288623
ERR10288624	ZS1791	PRJEB56320	ZS1791_ERR10288624
ERR10288625	S-56	PRJEB56320	S-56_ERR10288625
ERR10288626	T146	PRJEB56320	T146_ERR10288626
ERR10288627	TR	PRJEB56320	TR_ERR10288627
ERR10288628	T9	PRJEB56320	T9_ERR10288628
ERR10288629	TZU-CHIAO-HSI-W	PRJEB56320	TZU-CHIAO-HSI-W_ERR10288629
ERR10288630	VA38	PRJEB56320	VA38_ERR10288630
ERR10288632	U-123	PRJEB56320	U-123_ERR10288632
ERR10288633	SG-30A	PRJEB56320	SG-30A_ERR10288633
ERR10288634	SEAGULLSEVENTEE	PRJEB56320	SEAGULLSEVENTEE_ERR10288634
ERR10288635	SD42	PRJEB56320	SD42_ERR10288635
ERR10288636	YE4	PRJEB56320	YE4_ERR10288636
ERR10288637	R30	PRJEB56320	R30_ERR10288637
ERR10288638	PHTD5	PRJEB56320	PHTD5_ERR10288638
ERR10288640	PHV07	PRJEB56320	PHV07_ERR10288640
ERR10288641	R197	PRJEB56320	R197_ERR10288641
ERR10288642	R134	PRJEB56320	R134_ERR10288642
ERR10289252	PHWRZ	PRJEB56320	PHWRZ_ERR10289252
ERR10289277	PHT73	PRJEB56320	PHT73_ERR10289277
ERR10289278	PHJ90	PRJEB56320	PHJ90_ERR10289278
ERR10289279	R101	PRJEB56320	R101_ERR10289279
ERR10289280	PHR61	PRJEB56320	PHR61_ERR10289280
ERR10289281	PHW06	PRJEB56320	PHW06_ERR10289281
ERR10289282	PHN18	PRJEB56320	PHN18_ERR10289282
ERR10289283	PHTE4	PRJEB56320	PHTE4_ERR10289283
ERR10289284	PHHB9	PRJEB56320	PHHB9_ERR10289284
ERR10289285	PHHB4	PRJEB56320	PHHB4_ERR10289285
ERR10289286	PHN41	PRJEB56320	PHN41_ERR10289286
ERR10289287	R53	PRJEB56320	R53_ERR10289287
ERR10289288	PHRE1	PRJEB56320	PHRE1_ERR10289288
ERR10289289	PHGG7	PRJEB56320	PHGG7_ERR10289289
ERR10289291	PHEM7	PRJEB56320	PHEM7_ERR10289291
ERR10289292	R225	PRJEB56320	R225_ERR10289292
ERR10289293	PHEW7	PRJEB56320	PHEW7_ERR10289293
ERR10289294	PHFA5	PRJEB56320	PHFA5_ERR10289294
ERR10289295	PHEM9	PRJEB56320	PHEM9_ERR10289295
ERR10289296	PHGV6	PRJEB56320	PHGV6_ERR10289296
ERR10289297	PHDD6	PRJEB56320	PHDD6_ERR10289297
ERR10289298	PHJ65	PRJEB56320	PHJ65_ERR10289298
ERR10289299	PHAW6	PRJEB56320	PHAW6_ERR10289299
ERR10289300	PA405	PRJEB56320	PA405_ERR10289300
ERR10289301	PA778	PRJEB56320	PA778_ERR10289301
ERR10289302	OQ601	PRJEB56320	OQ601_ERR10289302
ERR10289303	OQ101	PRJEB56320	OQ101_ERR10289303
ERR10289304	PA468	PRJEB56320	PA468_ERR10289304
ERR10289305	PH5HK	PRJEB56320	PH5HK_ERR10289305
ERR10289306	PA392	PRJEB56320	PA392_ERR10289306
ERR10289307	NY_166__NEVEH_Y	PRJEB56320	NY_166__NEVEH_Y_ERR10289307
ERR10289308	NY159_NEVEHYAAR	PRJEB56320	NY159_NEVEHYAAR_ERR10289308
