accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
PI 270297,5,6,63.8,107.19999999999999,SAMN22346332,ILLUMINA,PRJNA481365;PRJNA609577;PRJNA771871,cultivar,B96,46.0,133.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B96,41:2504B Amargo Inbred Line,ARG,5.0,False,97.6,call variants now
PI 587131,4,26,76.6,100.99999999999999,SAMEA5313307,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA272385;PRJNA565870,cultivar,HP301,42.0,54.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,HP301,Supergold Popcorn,USA,5.0,False,94.3,call variants now
PI 587152,3,16,28.3,46.300000000000004,SAMN27189590,ILLUMINA,;PRJNA565870;PRJNA822510,cultivar,W64A,39.0,59.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W64A,WF9 x CI187-2,USA,5.0,True,91.8,call variants now
PI 587137,3,26,75.7,80.3,SAMEA5313315,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA565870,cultivar,Ms71,37.0,61.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Ms71,A619 x R168,USA,5.0,True,90.2,call variants now
PI 594047,1,14,34.3,34.3,SAMEA8718246,PACBIO_SMRT,PRJEB44462,cultivar,B104,35.0,54.0,Cultivar,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,B104,BS13(S)C5-13-1-1-2-1-1-1,USA,5.0,True,88.6,call variants now
PI 690330,2,23,74.4,76.5,SAMEA5313317,ILLUMINA;PACBIO_SMRT,;PRJEB32404,cultivar,NC358,34.0,55.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,NC358,Recurrent selection from an all-tropical hybrid synthetic TROPHY,USA,5.0,True,87.8,call variants now
PI 506246,2,23,71.7,73.7,SAMEA5313322,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,Tzi8,33.0,103.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Tzi 8,TZB/TZSR,NGA,5.0,False,86.9,call variants now
PI 595541,2,25,78.0,80.4,SAMEA5313303,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML247,32.0,86.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 247,Pool 24: (Pool 24 FS119*FS54)-6-4-1-1-BB-f .  Pool 24 is also named Tropical late white dent (TLWD) and its components are mainly Tuxpeno materials from Mexico and late maturity materials from Central America.,MEX,5.0,False,86.1,call variants now
PI 595550,2,29,88.2,90.5,SAMEA5313304,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML277,32.0,111.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 277,"Population 43: Ferke 8243-51-1-1-B-##-1-BB-# .  Population 43 is also named La Posta and its components is a Tuxpeno synthetic composed of 16 inbred lines (1 ETO Blanco S1 & 15 S1s of Tuxpe?o collection, formed in 1963).",MEX,5.0,False,86.1,call variants now
PI 690321,3,21,70.7,79.0,SAMEA5313305,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML322,31.0,63.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 322,Recy W.: 89[L/LMBR]17-B-5-3-1-4-B*4,MEX,5.0,True,85.3,call variants now
PI 587129,5,5,16.2,40.1,SAMN03281114,ILLUMINA,PRJNA1171432;PRJNA272385;PRJNA609577,cultivar,H99,38.0,47.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,H99,Illinois Synthetic 60C,USA,5.0,True,85.3,call variants now
PI 690318,2,24,74.2,78.3,SAMEA5313300,ILLUMINA;PACBIO_SMRT,;PRJEB31061,cultivar,CML69,30.0,93.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 69,"Population 36: P 36C5F37-2-1-1-b1#b1-b1#b1-b1 .  Population 36 is also named Cogollero and it is a Caribbean composite involving 165 accessions from all the Caribbean islands. About 50 families from the Insect Disease Resistance Nursery (IDRN) population, 20 families from Pool 22, and 26 families from Pool 26.",MEX,5.0,True,84.5,call variants now
PI 693339,18,42,169.0,453.6,SAMN11665429,ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,PRJNA1247151;PRJNA332940;PRJNA543394;PRJNA609577;PRJNA628111;PRJNA635654,cultivar,A188,30.0,71.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,A188,4-29(Silver King) x 46(N.W. Dent)4^4  N.W. Dent stands for open pollinated variety Northwestern Dent.,USA,5.0,True,84.5,call variants now
PI 690370,1,3,63.0,63.0,SAMN02821436,ILLUMINA,PRJNA251186,sample_title,Zea mays NC230,30.0,36.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,NC230,K55 x Yellow line or hybrid,USA,5.0,False,84.5,call variants now
Ames 35266,3,5,48.2,50.300000000000004,SAMN02946043,ILLUMINA;OXFORD_NANOPORE,PRJEB59044;PRJNA251204;PRJNA530187,cultivar,Mo44,29.0,49.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Mo44, Mo22 x Pioneer Mexican Synthetic 17,USA,5.0,False,83.7,call variants now
PI 690322,3,24,68.9,80.5,SAMEA5313306,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML333,29.0,60.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 333,Population 590: P 590C3F373-1-1-7-B-#-5-2-B-#-B,MEX,5.0,True,83.7,call variants now
PI 693332,2,3,33.3,35.099999999999994,SAMEA115703369,ILLUMINA;PACBIO_SMRT,PRJEB67812;PRJNA684330,cultivar,CM174,29.0,32.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CM174,V3 x B14^2,CAN,5.0,False,83.7,call variants now
PI 690320,4,33,85.3,158.89999999999998,SAMEA5313302,BGISEQ;ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT,;PRJEB31061;PRJNA1170466;PRJNA644582,cultivar,CML228,29.0,111.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 228,EV88SUWAN1-SR(BC5)-201-1-1-b-b,MEX,5.0,True,83.7,call variants now
PI 690319,3,26,85.4,93.00000000000001,SAMEA5313301,ILLUMINA;PACBIO_SMRT,;PRJEB31061;PRJNA1170466,cultivar,CML103,29.0,90.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,CML 103,"Population 44: P 44C4HC101-3-#1-1-B-### .  Population 44 is also named (AED) Tuxpeno and its compnents are AED and Tuxpe?o components.  AED (American Early Dent) was Boone County White from North-Carolina, before it was brought to Egypt in 1920.  The other component is an early cycle of short plant selections from Tuxpeno-1.",MEX,5.0,True,83.7,call variants now
PI 600959,4,7,60.3,121.9,SAMN15464443,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA251182;PRJNA565870;PRJNA644582;PRJNA684330,cultivar,LH145,36.0,55.0,Cultivar,Maize.Group.PVP,LH145,A632Ht x CM105,USA,4.0,True,83.4,call variants now
PI 601229,2,4,58.8,59.9,SAMN02821443,ILLUMINA,PRJNA251173;PRJNA565870,cultivar,PHG83,36.0,93.0,Cultivar,Maize.Group.PVP,PHG83,"814 X 207 specifically 814/207)X44XXXX.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814.",USA,4.0,True,83.4,call variants now
PI 550490,2,2,30.0,31.1,SAMN15464399,ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,ND246,28.0,36.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,ND246,W755/W771,USA,5.0,False,82.9,call variants now
PI 601009,2,4,61.0,62.6,SAMN02821397,ILLUMINA,PRJNA251121;PRJNA530187,cultivar,PHB47,35.0,592.0,Cultivar,Maize.Group.PVP,PHB47,B37 X SD105 specifically B37<3-XX#-SD105-#)F21323X11X.  B37 is a public inbred line developed from Iowa Stiff Stalk Synthetic at Iowa State University.  SD105 is an early public inbred line developed at South Dakota State University.,USA,4.0,False,82.6,call variants now
PI 601080,3,6,62.7,119.0,SAMN02822385,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA251175;PRJNA565870;PRJNA644582,cultivar,CR1HT,35.0,50.0,Cultivar,Maize.Group.PVP,CR1HT,W117Ht X Mo17Ht,USA,4.0,True,82.6,call variants now
PI 600957,3,3,22.7,27.4,SAMN05446035,ILLUMINA,PRJNA332948;PRJNA565870;PRJNA684330,cultivar,LH74,35.0,65.0,Cultivar,Maize.Group.PVP,LH74,A632 X B73 .  A632 is a public inbred line released by the University of Minnesota.  B73 is a public inbred line released by Iowa State University.,USA,4.0,True,82.6,call variants now
PI 601079,5,8,82.7,169.0,SAMEA115703357,COMPLETE_GENOMICS;ILLUMINA;PACBIO_SMRT,PRJEB67812;PRJNA1142968;PRJNA251136;PRJNA381642;PRJNA565870,cultivar,LH123Ht,35.0,68.0,Cultivar,Maize.Group.PVP,LH123HT,Pioneer 3535 hybrid,USA,4.0,True,82.6,call variants now
PI 587154,1,1,14.5,14.5,SAMN03281113,ILLUMINA,PRJNA272385,cultivar,W153R,37.0,199.0,Breeding material,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,W153R,Rec. I.153,USA,5.0,True,82.0,call variants now
PI 601190,2,3,65.3,67.1,SAMN15464435,BGISEQ;ILLUMINA;OXFORD_NANOPORE,PRJNA565870;PRJNA644582,cultivar,Q381,34.0,48.0,Cultivar,Maize.Group.PVP,Q381,One off-type plant in a planting of Pioneer 3369 hybrid test plot planting was selected an selfed.,USA,4.0,False,81.8,call variants now
PI 601322,5,5,91.9,124.20000000000002,SAMEA112904662,ILLUMINA;PACBIO_SMRT,PRJEB59044;PRJNA381642;PRJNA530187;PRJNA565870;PRJNA684330,cultivar,PHZ51,34.0,603.0,Cultivar,Maize.Group.PVP,PHZ51,"814 (PH814) x 848 (PH848) specifically 814/848)X1111X.  The varieties C103, OS420, 38-11, OS426 contributed greatly to the genotype in the derivation of PH814.  Varieties SRS303, OH43, OS420, OS426, MINN49, IDT, AR4, I205, SRS303, and LF51 contributed to the genotype in the derivation of PH848.",USA,4.0,True,81.8,call variants now
