sample,field,raw,key,n_acc,accs,risky,runs,x_cov,platform
SAMEA115703346,cultivar,F2,F2,1.0,PI 257506,True,10,275.4,ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT
SAMEA115703346,sample_title,F2,F2,1.0,PI 257506,True,10,275.4,ILLUMINA;OXFORD_NANOPORE;PACBIO_SMRT
SAMN06216672,sample_alias,F7,F7,1.0,PI 257507,True,5,233.3,ILLUMINA
SAMN06216672,sample_title,F7,F7,1.0,PI 257507,True,5,233.3,ILLUMINA
SAMN06216672,cultivar,F7,F7,1.0,PI 257507,True,5,233.3,ILLUMINA
SAMN15464442,sample_alias,764,764,1.0,PI 601374,True,2,82.6,BGISEQ;OXFORD_NANOPORE
SAMN15464442,cultivar,764,764,1.0,PI 601374,True,2,82.6,BGISEQ;OXFORD_NANOPORE
SAMN15464402,sample_alias,P39,P39,2.0,NSL 8585;PI 587133,False,2,81.3,BGISEQ;OXFORD_NANOPORE
SAMN15464402,cultivar,P39,P39,2.0,NSL 8585;PI 587133,False,2,81.3,BGISEQ;OXFORD_NANOPORE
SAMEA115703350,sample_alias,CO255,CO255,2.0,Ames 27050;PI 693359,False,4,80.1,PACBIO_SMRT
SAMEA115703350,sample_title,CO255,CO255,2.0,Ames 27050;PI 693359,False,4,80.1,PACBIO_SMRT
SAMEA115703350,cultivar,CO255,CO255,2.0,Ames 27050;PI 693359,False,4,80.1,PACBIO_SMRT
SAMN15464430,sample_alias,807,807,1.0,PI 601430,True,2,76.4,BGISEQ;OXFORD_NANOPORE
SAMN15464430,cultivar,807,807,1.0,PI 601430,True,2,76.4,BGISEQ;OXFORD_NANOPORE
SAMEA5313320,cultivar,P39,P39,2.0,NSL 8585;PI 587133,False,19,74.6,PACBIO_SMRT
SAMN01047772,sample_title,Krug Yellow Dent,KRUGYELLOWDENT,4.0,PI 213699;PI 213708;PI 213717;PI 233006,False,9,71.1,ILLUMINA
SAMN15464391,sample_alias,1127,1127,1.0,PI 271640,True,2,67.8,BGISEQ;OXFORD_NANOPORE
SAMN15464391,cultivar,1127,1127,1.0,PI 271640,True,2,67.8,BGISEQ;OXFORD_NANOPORE
SAMN15464458,cultivar,1538,1538,1.0,PI 601658,True,2,60.3,BGISEQ;OXFORD_NANOPORE
SAMN15464458,sample_alias,1538,1538,1.0,PI 601658,True,2,60.3,BGISEQ;OXFORD_NANOPORE
SAMN15464397,cultivar,F7,F7,1.0,PI 257507,True,2,59.0,BGISEQ;OXFORD_NANOPORE
SAMN15464397,sample_alias,F7,F7,1.0,PI 257507,True,2,59.0,BGISEQ;OXFORD_NANOPORE
SAMN15437931,isolate,1,1,1.0,Ames 13505,True,8,54.5,OXFORD_NANOPORE
SAMN15437930,isolate,1,1,1.0,Ames 13505,True,9,45.4,OXFORD_NANOPORE
SAMN27189591,cultivar,Zea mays L.,L,1.0,NSL 30863,True,1,44.7,ILLUMINA
SAMN03031318,cultivar,F7,F7,1.0,PI 257507,True,1,44.1,ILLUMINA
SAMN27189592,cultivar,Zea mays L.,L,1.0,NSL 30863,True,1,36.8,ILLUMINA
SAMN17014631,sample_alias,170_1,1701,1.0,PI 485465 CYMT,True,1,36.4,ILLUMINA
SAMN17014631,isolate,170_1,1701,1.0,PI 485465 CYMT,True,1,36.4,ILLUMINA
SAMN17188510,sample_alias,L,L,1.0,NSL 30863,True,1,32.0,ILLUMINA
SAMN17014628,sample_alias,169_7,1697,1.0,PI 485464 CYMT,True,1,31.4,ILLUMINA
SAMN17014628,isolate,169_7,1697,1.0,PI 485464 CYMT,True,1,31.4,ILLUMINA
SAMN06346881,sample_alias,S3,S3,1.0,PI 535901,True,1,29.7,ILLUMINA
