project_id,study_title,center,n_samples,n_runs,strategies,tb,n_acc_matched,n_acc_in_snptools,n_acc_new,n_acc_hi_cov,n_acc_new_hi_cov,n_acc_new_hi_cov_ge15tr,median_traits
PRJNA661271,Maize Wisconsin Diversity Panel Resequencing Project,SUB8090698,458,458,WGA,24.49,399,107,292,399,292,276,29.0
PRJNA1170466,Genome resequencing data of 447 maize inbred lines,SUB14757114,447,447,WGS,6.98,102,40,62,96,59,52,29.0
PRJEB56320,"Resequencing of a subset of the maize Wisconsin Diversity Panel (Hansey et al., 2011)",University of Nebraska-Lincoln,232,232,WGS,5.28,191,137,54,191,54,44,27.0
PRJNA531553,Deep DNA resequencing of the association mapping panel,SUB5433549,521,521,WGS,25.19,63,11,52,63,52,36,19.0
PRJNA644582,The maize structural variation map uncovered by Nanopore sequencing,SUB7607202,113,215,WGS,15.73,41,17,24,41,24,22,30.0
PRJNA1142968,Evaluation of genetic diversity across the inbreds used by G2F project - 2024/2025 germpla,SUB14849924,453,453,WGS,3.5,73,13,60,18,15,15,26.0
PRJNA609577,Zea mays subsp. mays Genome sequencing,SUB7075426,652,652,WGS,10.38,151,116,35,128,20,14,29.0
PRJEB43263,EM-Seq for NAM lines with 2 replicates,European Bioinformatics Institute;Comput,76,88,OTHER,1.56,26,13,13,25,13,13,32.0
PRJNA684330,Maize diversity to study rare alleles,SUB9028740,128,128,WGS,1.12,76,13,63,14,13,12,28.0
PRJEB31061,Genome sequence and assembly of the twenty-five founder lines of the the Nested Associatio,MaizeGDB,24,637,WGA;WGS,7.55,23,12,11,23,11,11,32.0
PRJNA1108025,Zea mays Raw sequence reads,SUB14427230,180,180,WGS,2.49,25,0,25,24,24,10,19.0
PRJNA381642,Zea mays subsp. mays Genome sequencing,nan,12,12,WGS,0.7,12,6,6,12,6,6,34.0
PRJNA479960,South American maize genome sequencing,SUB4227056,49,49,WGS,1.52,12,2,10,12,10,4,18.0
PRJNA1123779,GBS sequencing of maize NAM population-1,SUB14512755,9,9,WGS,0.11,4,0,4,4,4,4,15.0
PRJNA1196311,maize-HKW,SUB14916417,6,6,WGS,0.09,3,0,3,3,3,3,15.0
PRJEB67812,Whole-genome sequencing and de novo assembly of 29 dent and flint maize inbred lines,INRAE - GeT-PlaGe;INRAE,29,106,WGS,6.24,12,9,3,12,3,3,33.0
PRJNA272385,Zea mays subsp. mays Genome sequencing,Universita degli Studi di Udine,5,25,WGA;WGS,0.27,4,1,3,4,3,3,38.5
PRJEB59044,Genome assemblies of corn inbreds used by the G2F project,Cornell University,13,32,WGS,0.5,6,1,5,2,2,2,30.0
PRJEB66502,Genome assemblies of inbreds capturing diverse maize haplotypes,Cornell University,2,6,WGS,0.1,2,0,2,2,2,2,23.0
PRJNA168265,Zea mays subsp. mays Genome sequencing,MSU-BUELL,3,29,WGS,0.46,2,0,2,2,2,2,25.0
PRJNA1011459,Study on maize ear length by a multiple parental population,SUB13804196,134,134,WGS,0.27,2,0,2,2,2,2,15.0
PRJNA1116581,Studies on the quality of maize in tropical subtropics,SUB14484057,7,7,WGS,0.11,2,0,2,2,2,2,15.0
PRJEB64865,The Genetics of Highland Adaptation in Maize,MaizeGDB,7,24,WGS,0.58,3,0,3,3,3,2,16.0
PRJNA251193,Zea mays strain:PHG72 Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,33.0
PRJNA251187,Zea mays strain:LH156 Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,31.0
PRJNA251180,Zea mays strain:LH85 Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,30.0
PRJNA251186,Zea mays strain:NC230 Genome sequencing,nan,1,3,WGS,0.14,1,0,1,1,1,1,30.0
PRJNA251182,Zea mays strain:LH145 Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,36.0
PRJNA251181,Zea mays strain:LH93 Genome sequencing,nan,1,3,WGS,0.15,1,0,1,1,1,1,34.0
PRJNA332965,Zea mays strain:W37A | cultivar:W37A Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,28.0
PRJNA251179,Zea mays strain:W605S Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,27.0
PRJNA628111,GBS analysis on maize F2 population,SUB7094067,293,293,WGS,0.48,5,1,4,2,1,1,25.0
PRJNA635654,Zea mays isolate:Zm00056a Genome sequencing and assembly,SUB7938908,12,35,WGS,0.63,1,0,1,1,1,1,30.0
PRJNA251176,Zea mays strain:PHN11 Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,31.0
PRJNA251175,Zea mays strain:CR1HT Genome sequencing,nan,1,3,WGS,0.14,1,0,1,1,1,1,35.0
PRJNA251173,Zea mays strain:PHG83 Genome sequencing,nan,1,3,WGS,0.14,1,0,1,1,1,1,36.0
PRJNA251172,Zea mays strain:Mo45 Genome sequencing,nan,1,3,WGS,0.15,1,0,1,1,1,1,23.0
PRJNA251178,Zea mays strain:W604S Genome sequencing,nan,1,3,WGS,0.13,1,0,1,1,1,1,26.0
PRJNA332961,Zea mays strain:PHR03 | cultivar:PHR03 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,20.0
PRJNA251204,Zea mays cultivar:Mo44 Genome sequencing,nan,1,2,WGS,0.11,1,0,1,1,1,1,29.0
PRJNA263415,Zea mays subsp. mays Targeted Locus (Loci),University of Delaware,6,6,OTHER,0.09,5,3,2,4,1,1,42.0
PRJNA332953,Zea mays strain:PHK46 | cultivar:PHK46 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,29.0
PRJNA332956,Zea mays strain:PHKM5 | cultivar:PHKM5 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,29.0
PRJNA332951,Zea mays strain:PHAA0 | cultivar:PHAA0 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,29.0
PRJNA332950,Zea mays strain:NP899 | cultivar:NP899 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,29.0
PRJNA332948,Zea mays strain:LH74 | cultivar:LH74 Genome sequencing,nan,1,1,WGS,0.05,1,0,1,1,1,1,35.0
