project_id,n_acc_new_hi_cov_ge15tr,n_files,tb,study_title,strategies,old_count,delta
PRJNA661271,246,492,6.423041339779,Maize Wisconsin Diversity Panel Resequencing Project,WGA,276,-30
PRJNA1170466,36,72,0.26398531285,Genome resequencing data of 447 maize inbred lines,WGS,52,-16
PRJNA644582,18,34,2.225078576586,The maize structural variation map uncovered by Nanopore sequencing,WGS,22,-4
PRJNA1142968,15,30,0.152589389284,Evaluation of genetic diversity across the inbreds used by G2F project - 2024/2025 germpla,WGS,15,0
PRJNA684330,12,24,0.12352303192,Maize diversity to study rare alleles,WGS,12,0
PRJNA1108025,9,18,0.050402418047,Zea mays Raw sequence reads,WGS,10,-1
PRJNA531553,8,16,0.235508241841,Deep DNA resequencing of the association mapping panel,WGS,36,-28
PRJNA381642,6,12,0.311260067137,Zea mays subsp. mays Genome sequencing,WGS,6,0
PRJNA479960,4,8,0.051442851365,South American maize genome sequencing,WGS,4,0
PRJEB43263,3,14,0.101549554462,EM-Seq for NAM lines with 2 replicates,OTHER,13,-10
PRJEB67812,3,7,0.212289240463,Whole-genome sequencing and de novo assembly of 29 dent and flint maize inbred lines,WGS,3,0
PRJNA609577,3,10,0.03205227672,Zea mays subsp. mays Genome sequencing,WGS,14,-11
PRJNA1123779,3,6,0.024866882021,GBS sequencing of maize NAM population-1,WGS,4,-1
PRJNA168265,2,40,0.242997223184,Zea mays subsp. mays Genome sequencing,WGS,2,0
PRJNA1196311,2,4,0.014473426395,maize-HKW,WGS,3,-1
PRJNA272385,2,20,0.084330392798,Zea mays subsp. mays Genome sequencing,WGA;WGS,3,-1
PRJNA1011459,2,4,0.014473451091,Study on maize ear length by a multiple parental population,WGS,2,0
PRJEB66502,2,6,0.081711264985,Genome assemblies of inbreds capturing diverse maize haplotypes,WGS,2,0
PRJEB64865,2,6,0.091724039023,The Genetics of Highland Adaptation in Maize,WGS,2,0
PRJEB59044,2,2,0.080401129373,Genome assemblies of corn inbreds used by the G2F project,WGS,2,0
PRJNA332960,1,2,0.02947162352,Zea mays strain:PHP38 | cultivar:PHP38 Genome sequencing,WGS,1,0
PRJNA332961,1,2,0.031907434621,Zea mays strain:PHR03 | cultivar:PHR03 Genome sequencing,WGS,1,0
PRJNA332956,1,2,0.031913123648,Zea mays strain:PHKM5 | cultivar:PHKM5 Genome sequencing,WGS,1,0
PRJNA332955,1,2,0.039300753957,Zea mays cultivar:PHK76 Genome sequencing,WGS,1,0
PRJEB31061,1,58,0.137203109882,Genome sequence and assembly of the twenty-five founder lines of the the Nested Associatio,WGA;WGS,11,-10
PRJNA332954,1,2,0.033728970667,Zea mays strain:PHK56 | cultivar:PHK56 Genome sequencing,WGS,1,0
PRJNA332953,1,2,0.033195860249,Zea mays strain:PHK46 | cultivar:PHK46 Genome sequencing,WGS,1,0
PRJNA332965,1,2,0.032599235081,Zea mays strain:W37A | cultivar:W37A Genome sequencing,WGS,1,0
PRJNA332950,1,2,0.034386649209,Zea mays strain:NP899 | cultivar:NP899 Genome sequencing,WGS,1,0
PRJNA332948,1,2,0.032456981749,Zea mays strain:LH74 | cultivar:LH74 Genome sequencing,WGS,1,0
PRJNA332947,1,2,0.025135527971,Zea mays strain:LH59 | cultivar:LH59 Genome sequencing,WGS,1,0
PRJNA332951,1,2,0.036626737208,Zea mays strain:PHAA0 | cultivar:PHAA0 Genome sequencing,WGS,1,0
PRJNA635654,1,36,0.446652167691,Zea mays isolate:Zm00056a Genome sequencing and assembly,WGS,1,0
PRJNA481365,1,2,0.055135549558,Genetic Mapping of Resistance to Tetranychus urticae in Maize,WGS,1,0
PRJNA543394,1,5,0.292686789164,Sequencing of A188 genome,OTHER;WGS,1,0
PRJNA556665,1,2,0.056243395008,Genetic Mapping of Maize Resistance to Tetranychus urticae,WGS,1,0
PRJNA565870,1,2,0.010766501624,Resequencing of 775 maize inbred lines,WGS,1,0
PRJNA628111,1,2,0.014965795666,GBS analysis on maize F2 population,WGS,1,0
PRJNA332943,1,2,0.029845232098,Zea mays strain:LH168 | cultivar:LH168 Genome sequencing,WGS,1,0
PRJNA701650,1,46,0.155817055266,Zea mays PHB47 Standard Draft genome sequencing,OTHER,1,0
PRJNA701651,1,81,0.185719219597,Zea mays LH145 Standard Draft genome sequencing,OTHER;WGS,1,0
PRJNA701652,1,51,0.175203496619,Zea mays PHJ40 Standard Draft genome sequencing,OTHER,1,0
PRJNA771871,1,6,0.070858182372,Genomic sequences of spider mite resistant maize lines B96 and B75,WGS,1,0
