sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMD00884927,1,20974676950,OXFORD_NANOPORE,WGS,PRJDB20204,9.1,,,False,,,False
SAMD01398111,1,56246028600,ILLUMINA,WGS,PRJDB28151,24.5,,,False,,,False
SAMD01398112,1,61887955500,ILLUMINA,WGS,PRJDB28151,26.9,,,False,,,False
SAMD01662213,1,21547029600,ILLUMINA,WGS,PRJDB31761,9.4,,,False,,,False
SAMD01662214,1,20206525800,ILLUMINA,WGS,PRJDB31761,8.8,,,False,,,False
SAMD01662218,1,27050929800,ILLUMINA,WGS,PRJDB31761,11.8,,,False,,,False
SAMD01662219,1,18305301900,ILLUMINA,WGS,PRJDB31761,8.0,,,False,,,False
SAMD01662222,1,21786341700,ILLUMINA,WGS,PRJDB31761,9.5,,,False,,,False
SAMD01662223,1,21452195100,ILLUMINA,WGS,PRJDB31761,9.3,,,False,,,False
SAMD01662224,1,182362828800,ILLUMINA,WGS,PRJDB31761,79.3,,,False,,,False
SAMD01662225,1,20543621700,ILLUMINA,WGS,PRJDB31761,8.9,,,False,,,False
SAMD01662226,1,139026697800,ILLUMINA,WGS,PRJDB31761,60.4,,,False,,,False
SAMD01662227,1,15060669900,ILLUMINA,WGS,PRJDB31761,6.5,,,False,,,False
SAMD01662228,1,54933059400,ILLUMINA,WGS,PRJDB31761,23.9,,,False,,,False
SAMD01662230,1,42082690200,ILLUMINA,WGS,PRJDB31761,18.3,,,False,,,False
SAMD01662231,1,51652649100,ILLUMINA,WGS,PRJDB31761,22.5,,,False,,,False
SAMD01667530,1,13072975134,BGISEQ,WGS,PRJDB37009,5.7,,,False,,,False
SAMD01667531,1,19868347810,BGISEQ,WGS,PRJDB37009,8.6,,,False,,,False
SAMD01667532,1,13233193590,BGISEQ,WGS,PRJDB37009,5.8,,,False,,,False
SAMD01667533,1,15278402610,BGISEQ,WGS,PRJDB37009,6.6,,,False,,,False
SAMD01667534,1,19084203418,BGISEQ,WGS,PRJDB37009,8.3,,,False,,,False
SAMD01667535,1,22534129990,BGISEQ,WGS,PRJDB37009,9.8,,,False,,,False
