accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME
Ames 10268,19,21,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC16
Ames 10270,18,33,False,,SC333 x SC276,USA,Breeding material,SC73
Ames 10271,27,32,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC84E
Ames 10273,18,21,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC102
Ames 10274,20,25,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC144
Ames 10275,24,24,False,,(Latham's Double x T61) T61,USA,Breeding material,SC152
Ames 10276,19,21,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,SC225
Ames 10277,29,62,False,Maize.Group.Ames.Panel.2010,Fla3 x Huffman,USA,Breeding material,SC235
Ames 10665,18,20,False,,,COL,Landrace,Boyaca 547
Ames 13502,33,33,False,,B73 X Zea diploperennis Laventana collection.,USA,Breeding material,Ames 13502
Ames 13503,30,30,False,,Zea diploperennis collection #1190 X (A641 X W182B) Minihybrid 8201,USA,Breeding material,Ames 13503
Ames 14112,20,26,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Va3A
Ames 14113,17,49,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Va12C
Ames 14114,20,26,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Va14A
Ames 14254,25,25,False,,,USA,Cultivar,Grahams Corn
Ames 14278,18,26,False,,,USA,Cultivar,Ladyfinger
Ames 14407,15,15,False,Maize.Group.Ames.Panel.Post.2010,,MEX,Breeding material,KS1
Ames 14408,18,34,False,Maize.Group.Ames.Panel.2010,,MEX,Breeding material,KS2
Ames 14409,15,15,False,Maize.Group.Ames.Panel.Post.2010,,MEX,Breeding material,KS3
Ames 14410,15,15,False,Maize.Group.Ames.Panel.Post.2010,,MEX,Breeding material,KS4
Ames 15920,28,42,False,Maize.Group.Ames.Panel.Post.2010,(M14 x R30) M14 ^2,USA,Breeding material,R146
Ames 15932,16,16,False,,,USA,Breeding material,Burford Ornamental Popcorn
Ames 15933,15,15,False,,,USA,Landrace,Vincent Yellow Dent
Ames 16407,16,29,False,,,PRY,Landrace,PCM-WCG 332
Ames 16610,16,29,False,,,PRY,Landrace,PCM-WCG 554
Ames 16625,18,31,False,,,BOL,Landrace,mais pisingallo (Pisankalla)
Ames 16950,49,63,False,,,BOL,Landrace,PCM-WCG 910
Ames 16969,15,15,False,,,BOL,Landrace,PCM-WCG 930
Ames 17085,15,15,False,,,CRI,Landrace,PCM-WCG 1047
Ames 17243,15,15,False,,,VEN,Landrace,PCM-WCG 1238
Ames 17252,15,15,False,,,VEN,Landrace,PCM-WCG 1247
Ames 17348,15,15,False,,,COL,Landrace,PCM-WCG 1349
Ames 17349,16,16,False,,,COL,Landrace,PCM-WCG 1350
Ames 17350,17,17,False,,,COL,Landrace,PCM-WCG 1351
Ames 17351,17,17,False,,,COL,Landrace,PCM-WCG 1352
Ames 17352,16,16,False,,,COL,Landrace,PCM-WCG 1353
Ames 17353,17,17,False,,,COL,Landrace,PCM-WCG 1354
Ames 17354,17,17,False,,,COL,Landrace,PCM-WCG 1355
Ames 17496,26,40,False,,,BOL,Landrace,PCM-WCG 1503
Ames 17526,15,15,False,,,VEN,Landrace,PCM-WCG 1533
