SRA_ID,Name,name_base,BioProject,key,grin_accession,grin_plant_name,grin_n_acc_for_key,risky,confident_match,pi_linked_in_sra2accession
ERR10235200,S50676,S50676,PRJEB56265,S50676,,,,,False,False
ERR10235203,S68911,S68911,PRJEB56265,S68911,,,,,False,False
ERR10238125,S160,S160,PRJEB56265,S160,,,,,False,False
ERR10288611,YU796NS,YU796NS,PRJEB56320,YU796NS,Ames 27196,Yu796_NS,1.0,False,True,False
ERR10288612,YELLOW3-4,YELLOW3-4,PRJEB56320,YELLOW34,Ames 2331,Yellow 3-4,1.0,False,True,False
ERR10288613,W816G,W816G,PRJEB56320,W816G,Ames 30573,W816G,1.0,False,True,True
ERR10288614,W818G,W818G,PRJEB56320,W818G,Ames 30575,W818G,1.0,False,True,True
ERR10288615,VA52,VA52,PRJEB56320,VA52,Ames 19014,Va52,1.0,False,True,False
ERR10288616,YONG28,YONG28,PRJEB56320,YONG28,Ames 2333,Yong 28,1.0,False,True,False
ERR10288617,W601S,W601S,PRJEB56320,W601S,Ames 30553,W601S,1.0,False,True,True
ERR10288618,YANG,YANG,PRJEB56320,YANG,PI 391672,YANG,1.0,False,True,True
ERR10288619,SD15,SD15,PRJEB56320,SD15,NSL 34374,SD15,1.0,False,True,True
ERR10288620,T141,T141,PRJEB56320,T141,PI 340827,T141,1.0,False,True,True
ERR10288621,YE-CHI-HUNG,YE-CHI-HUNG,PRJEB56320,YECHIHUNG,PI 391682,YE-CHI-HUNG,1.0,False,True,True
ERR10288622,W802G,W802G,PRJEB56320,W802G,Ames 30559,W802G,1.0,False,True,True
ERR10288623,W703,W703,PRJEB56320,W703,NSL 30056,W703,1.0,False,True,True
ERR10288624,ZS1791,ZS1791,PRJEB56320,ZS1791,PI 591619,ZS1791,1.0,False,True,True
ERR10288625,S-56,S-56,PRJEB56320,S56,PI 535906,S 56,1.0,False,True,False
ERR10288626,T146,T146,PRJEB56320,T146,PI 340829,T146,1.0,False,True,True
ERR10288627,TR,TR,PRJEB56320,TR,Ames 26022,Tr,1.0,True,False,False
ERR10288628,T9,T9,PRJEB56320,T9,PI 340819,T9,1.0,True,False,True
ERR10288629,TZU-CHIAO-HSI-W,TZU-CHIAO-HSI-W,PRJEB56320,TZUCHIAOHSIW,,,,,False,False
ERR10288630,VA38,VA38,PRJEB56320,VA38,Ames 19011,Va38,1.0,False,True,False
ERR10288632,U-123,U-123,PRJEB56320,U123,PI 369446,U 123,1.0,False,True,False
