accession,n_traits,total_trait_envs,deepest_trait_envs,n_traits_ge2env,snptools_evidence,PLANT_NAME,collection,IMPROVEMENT_LEVEL,countryOfOriginCode,pedigree
PI 550473,48,1496,70,38,pi_link,B73,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Selected from advanced recurrent selection population (C5) of Iowa Stiff Stalk Synthetic (BSSS).
PI 558532,46,879,36,33,pi_link,Mo17,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,CI 187-2/C103
PI 198897,45,58,3,12,name_match_only,4F-306 108,Maize.Group.Ames.Panel.2010,Breeding material,ARG,
PI 257506,45,148,7,27,pi_link,F2,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,FRA,Open Pollinated Lacaune.
PI 358523,45,76,4,22,pi_link,Il14H,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,
PI 257507,44,95,5,26,pi_link,F7,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,FRA,Open Pollinated Lacaune.
PI 257513,43,68,4,19,pi_link,F115,Maize.Group.Ames.Panel.2010,Breeding material,FRA,Ia 153 (USA).
PI 587131,42,54,6,7,name_match_only,HP301,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Supergold Popcorn
PI 587139,40,861,37,31,pi_link,A619,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,[(A171 X Oh43) Oh43]
PI 587140,39,849,36,31,pi_link,A632,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,[(Mt42 X B14) B14(3)]
PI 550467,38,76,9,27,pi_link,B37,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Selected from Iowa Stiff Stalk Synthetic. (BSSS-C0)
PI 587128,38,109,5,28,pi_link,H84,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,(B37 x GE440)HtHt
PI 587124,38,823,34,31,pi_link,CM105,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,CAN,V3 / 2* B14
PI 587153,37,829,37,31,pi_link,W117,Maize.Group.Ames.Panel.2010,Breeding material,USA,(643 x Minn. 13)
PI 690332,37,58,4,17,pi_link,Oh43,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Oh40B X W8
PI 587137,37,61,5,19,name_match_only,Ms71,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,A619 x R168
PI 600958,36,54,4,14,pi_link,FAPW,Maize.Group.PVP,Cultivar,USA,B14AH X B37H .  B14AH is a backcross recovered B14A line with the northern leaf blight resistance gene Ht1 donated by the inbred LFP.  B37H is a backcross recovered B37 with the Ht1 gene donated by Ge440.
PI 600791,36,77,4,27,pi_link,LH38,Maize.Group.PVP,Cultivar,USA,A619Ht x L120 .  L120 is a Holden's Foundation Seeds private line related to the Oh43 family of maize.
PI 600751,36,54,4,14,name_match_only,Seagull Seventeen,Maize.Group.PVP,Cultivar,USA,Mo17 X (other unknown parent) .  First observed as an off type in a large field of Mo17.
PI 564682,36,77,4,26,pi_link,B97,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,Iowa Corn Borer Synthetic No. 1 [BSCB1(R)C9]-2
PI 587148,36,104,5,28,name_match_only,CI 66,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Breeding material,USA,L97 X K55 (2)
PI 601004,35,77,4,28,pi_link,LH132,Maize.Group.PVP,Cultivar,USA,(H93 X B73) X B73
PI 600729,35,64,3,27,name_match_only,LP1 NR HT,Maize.Group.PVP,Cultivar,USA,182Ht1-Blk-1 .  182Ht1-Blk-1 is a private selection related to A632 with Helminthosporium turcicum resistance and was the recurrent male parent.
PI 601005,35,77,4,29,pi_link,PH207,Maize.Group.PVP,Cultivar,USA,G3BD2 X G3RZ1 specifically G3BD2/G3RZ1)X154X1X
PI 601006,35,77,4,29,pi_link,PHG50,Maize.Group.PVP,Cultivar,USA,848 X 207 specifically 848/207)X1321X
PI 601008,35,92,4,29,pi_link,PHG35,Maize.Group.PVP,Cultivar,USA,G3BD2 X H7FS6 specifically G3BD2<4B3W37A/H7FS6)X8112111
PI 601026,35,75,4,28,pi_link,F42,Maize.Group.PVP,Cultivar,USA,Mutation induction of B73 with nitrosoquanidine.
PI 369437,35,47,3,11,pi_link,80-2,Maize.Group.Ames.Panel.2010,Breeding material,POL,
