accession,n_traits,total_envs,in_snptools,collection,pedigree,countryOfOriginCode,IMPROVEMENT_LEVEL,PLANT_NAME,snptools_name,snptools_bioproject,was_in_my_callable_tier
Ames 19011,20,23,False,Maize.Group.Ames.Panel.2010,VaCBS(S)C2,USA,Breeding material,Va38,VA38,PRJEB56320,True
Ames 20116,29,58,False,Maize.Group.Ames.Panel.2010,(K10 x Ky49/Manmoth White Pearl),USA,Breeding material,Mo23W,MO23W,PRJEB56320,True
Ames 22757,18,23,False,Maize.Group.Ames.Panel.2010,NY3 X Pa54,USA,Cultivar,Pa405,PA405,PRJEB56320,True
Ames 2328,19,22,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,North 7,NORTH7,PRJEB56320,True
Ames 2333,30,47,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,Yong 28,YONG28,PRJEB56320,True
Ames 27117,17,18,False,Maize.Group.Ames.Panel.2010,,USA,Breeding material,Ia5125B,IA5125B,PRJEB56320,True
Ames 27196,32,65,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Vucovar Yellow dent variety,SRB,Breeding material,Yu796_NS,YU796NS,PRJEB56320,True
Ames 28928,28,32,False,Maize.Group.Ames.Panel.2010,See Hansey et.al. 2011,USA,Breeding material,Mo28W,MO28W,PRJEB56320,True
Ames 28937,24,40,False,Maize.Group.Ames.Panel.2010,See Hansey et.al. 2011,USA,Breeding material,Mo39,MO39,PRJEB56320,True
Ames 34383,15,30,False,,G17TSR-HS5-2-4-7-1-1-1-B,MEX,Cultivar,CML 422,CML422,PRJNA531553,True
Ames 34386,15,15,False,,((NPH-28-1/G25)/NPH-28-1)-1-2-1-1-3-1-B,MEX,Cultivar,CML 451,CML451,PRJNA531553,True
Ames 34387,15,15,False,,P147-F2-110-1-2-B-2,MEX,Cultivar,CML 471,CML471,PRJNA531553,True
Ames 34388,15,15,False,,P45-C8-76-1-2-1-2-B,MEX,Cultivar,CML 486,CML486,PRJNA531553,True
NSL 65872,19,37,False,Maize.Group.Ames.Panel.2010,L 289-4-3-5-2-4-1-1-3-3. Lancaster Surecrop.,USA,Breeding material,L 289,L289,PRJEB56320,True
PI 146368,30,76,False,,(JC33 x L317)-B-B-S1-2-3-X Composite,USA,Breeding material,CI 7,CI7,PRJNA531553,True
PI 146374,28,33,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,Wilson Farm Reid,USA,Breeding material,Wf9,WF9,PRJNA609577,True
PI 151090,28,32,False,Maize.Iowa.Stiff.Stalk.Inbreds,"Ill. Two-ear (from H.A. Wallace, Pioneer TEA54)",USA,Breeding material,CI 540,CI540,PRJEB56320,True
PI 151531,18,34,False,,,USA,Breeding material,Os426,OS426,PRJEB56320,True
PI 198892,30,33,False,Maize.Group.Ames.Panel.2010,,ARG,Breeding material,4F-234 BX 4,4F-234BX4,PRJEB56320,True
PI 198897,45,58,False,Maize.Group.Ames.Panel.2010,,ARG,Breeding material,4F-306 108,4F-306_108,PRJEB56320,True
PI 200182,24,25,False,Maize.Group.Ames.Panel.2010,,ISR,Breeding material,NY 159 (Neveh Yaar),NY159_NEVEHYAAR,PRJEB56320,True
PI 221773,19,20,False,Maize.Group.Ames.Panel.2010,,ZAF,Breeding material,A415-1-3 INBRED,A415-1-3-INBRED,PRJEB56320,True
PI 303924,28,29,False,Maize.Group.Ames.Panel.2010,Developed from Dnepropetrovskaya an open-pollinated variety.,108,Breeding material,NO. 380,NO-380,PRJEB56320,True
PI 369438,20,22,False,Maize.Group.Ames.Panel.2010,,POL,Breeding material,K 10,K10,PRJNA531553,True
PI 369446,21,22,False,Maize.Group.Ames.Panel.2010,,POL,Breeding material,U 123,U-123,PRJEB56320,True
PI 405707,21,25,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,HUA 94 INBRED,Hua94,PRJNA609577,True
PI 427109,20,22,False,Maize.Group.Ames.Panel.2010,,CHN,Breeding material,Eng-li Chih,ENG-LICHIH,PRJEB56320,True
PI 506246,33,103,False,Maize.Set.Inbred.Diversity.282.Plus.NAM.Parents,TZB/TZSR,NGA,Breeding material,Tzi 8,Tzi8,PRJEB31061,True
PI 517968,18,24,False,Maize.Group.Ames.Panel.2010,Selection from PA Virus resistant early synthetic.,USA,Breeding material,Pa392,PA392,PRJEB56320,True
PI 517971,19,51,False,Maize.Group.Ames.Panel.2010,Selection from an Indian corn population,USA,Breeding material,Pa468,PA468,PRJEB56320,True
PI 531083,20,26,False,Maize.Group.Ames.Panel.2010,Selected from PA91/T226 * 2/PA91 after five cycles of selfing and selection in ear to row manner,USA,Breeding material,Pa891,PA891,PRJEB56320,True
PI 535914,29,33,False,Maize.Group.Ames.Panel.2010,,POL,Breeding material,S 22,S22,PRJNA531553,True
PI 539930,29,32,False,Maize.Group.PVP,1202 X 1250 .  1202 is PAG 1202 which was improved PAG 330 for stalk quality using WF9 as donor.  1250 is A641 which is ND203 X B14.,FRA,Cultivar,RS 710,RS_710,PRJNA609577,True
