Name,name_base,SRA_ID,BioProject,reason
S50676,S50676,ERR10235200,PRJEB56265,SNPTools name has no GRIN plant-name match — needs curation
S68911,S68911,ERR10235203,PRJEB56265,SNPTools name has no GRIN plant-name match — needs curation
S160,S160,ERR10238125,PRJEB56265,SNPTools name has no GRIN plant-name match — needs curation
TZU-CHIAO-HSI-W,TZU-CHIAO-HSI-W,ERR10288629,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
SEAGULLSEVENTEE,SEAGULLSEVENTEE,ERR10288634,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
NY_166__NEVEH_Y,NY_166__NEVEH_Y,ERR10289307,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
NKBCC03,NKBCC03,ERR10289316,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
NKNP901,NKNP901,ERR10289317,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
NK907,NK907,ERR10289318,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
NK794,NK794,ERR10289319,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
MO30W,MO30W,ERR10289349,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
LH189HT,LH189HT,ERR10289368,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED305,INBRED305,ERR10290068,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED309,INBRED309,ERR10290070,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED_321,INBRED_321,ERR10290071,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED141,INBRED141,ERR10290073,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED_109,INBRED_109,ERR10290075,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED2-687,INBRED2-687,ERR10290077,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
INBRED_100,INBRED_100,ERR10290079,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
G22T122,G22T122,ERR10290085,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK84BRQ4,DK84BRQ4,ERR10290091,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK6F545,DK6F545,ERR10290092,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK8F196,DK8F196,ERR10290093,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
F44,F44,ERR10290095,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
G3T5A,G3T5A,ERR10290097,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DKMFD-13D,DKMFD-13D,ERR10290100,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DKNL001,DKNL001,ERR10290102,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK8M129,DK8M129,ERR10290103,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DKMBZA,DKMBZA,ERR10290105,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DKF274,DKF274,ERR10290106,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DKWDAD1,DKWDAD1,ERR10290108,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK8M116,DK8M116,ERR10290109,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
DK3IIH6,DK3IIH6,ERR10290111,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
BEI10-NORTH10,BEI10-NORTH10,ERR10290123,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
B-18_INBR_FR_SU,B-18_INBR_FR_SU,ERR10290778,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
4554_INBRED,4554_INBRED,ERR10290815,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
4578INBRED,4578INBRED,ERR10290818,PRJEB56320,SNPTools name has no GRIN plant-name match — needs curation
Par_N16,Par_N16,ERR11202955,PRJEB61159,SNPTools name has no GRIN plant-name match — needs curation
A374_inra,A374_inra,ERR1462650,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
AR210_inra,AR210_inra,ERR1462651,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
Ak3_inra,Ak3_inra,ERR1462652,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CH10-4_ethz,CH10-4_ethz,ERR1462653,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CH19-1_ethz,CH19-1_ethz,ERR1462654,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CH34_ethz,CH34_ethz,ERR1462655,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CH36_ethz,CH36_ethz,ERR1462656,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CH446A_ethz,CH446A_ethz,ERR1462657,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CO109_inra,CO109_inra,ERR1462658,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
CQ502_inra,CQ502_inra,ERR1462659,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EP4_csic,EP4_csic,ERR1462660,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EP80_csic,EP80_csic,ERR1462661,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EV18_csic,EV18_csic,ERR1462662,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EZ4_csic,EZ4_csic,ERR1462663,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
F48_inra,F48_inra,ERR1462664,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
F759_inra,F759_inra,ERR1462666,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
GA219_inra,GA219_inra,ERR1462667,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FV1_inra,FV1_inra,ERR1462668,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FV70_inra,FV70_inra,ERR1462669,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FV72_inra,FV72_inra,ERR1462670,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FV76_inra,FV76_inra,ERR1462671,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
F39_inra,F39_inra,ERR1462672,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FC16_inra,FC16_inra,ERR1462673,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FC24_inra,FC24_inra,ERR1462674,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FC673_inra,FC673_inra,ERR1462675,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
FC25_inra,FC25_inra,ERR1462676,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
Mo15W_inra,Mo15W_inra,ERR1462677,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
N22_inra,N22_inra,ERR1462678,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
N6_inra,N6_inra,ERR1462679,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
NC222_inra,NC222_inra,ERR1462680,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
ND1_inra,ND1_inra,ERR1462682,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
ND283_inra,ND283_inra,ERR1462683,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
ND30_inra,ND30_inra,ERR1462684,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
NY303_inra,NY303_inra,ERR1462686,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
NYS302_inra,NYS302_inra,ERR1462687,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PB18_inra,PB18_inra,ERR1462688,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PB79-2_inra,PB79-2_inra,ERR1462690,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PB86_inra,PB86_inra,ERR1462691,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PLS14_inra,PLS14_inra,ERR1462692,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PP147_inra,PP147_inra,ERR1462693,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
RT9_inra,RT9_inra,ERR1462694,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
UH_FF0721H_uh,UH_FF0721H_uh,ERR1462695,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
Wf9_inra,Wf9_inra,ERR1462696,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
WJ_inra,WJ_inra,ERR1462697,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
ARZM01097_CIMMYT,ARZM01097_CIMMYT,ERR1462698,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
ARZM07086_CIMMYT,ARZM07086_CIMMYT,ERR1462699,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR25_JDHMV2,MR25_JDHMV2,ERR1462700,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR05_JDHMV2,MR05_JDHMV2,ERR1462701,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR07_JDHMV2,MR07_JDHMV2,ERR1462702,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR18_JDHMV2,MR18_JDHMV2,ERR1462703,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR09_JDHMV2,MR09_JDHMV2,ERR1462704,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
SNLP305_CIMMYT,SNLP305_CIMMYT,ERR1462705,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ37_SSD23,PDZ37_SSD23,ERR1462706,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ676-103,PDZ676-103,ERR1462707,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ666-102,PDZ666-102,ERR1462708,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EM1197_inra,EM1197_inra,ERR1462709,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EM1433_inra,EM1433_inra,ERR1462710,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EM1712_inra,EM1712_inra,ERR1462711,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
EM2000_inra,EM2000_inra,ERR1462712,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ668-101,PDZ668-101,ERR1462713,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ689-201,PDZ689-201,ERR1462714,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ741-101,PDZ741-101,ERR1462715,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ737-101,PDZ737-101,ERR1462716,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
MR23_JDHMV2,MR23_JDHMV2,ERR1462717,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
PDZ682-101,PDZ682-101,ERR1462718,PRJEB14212,SNPTools name has no GRIN plant-name match — needs curation
