,Cob Color,Kernel Type,Kernel Color,Ear Length,Kernel row Number,Upper Kernel Shape,Pericarp Color,Aleurone Color,Colored Silk Scar,Endosperm Color,Ear Shape,Glume Development
Cob Color,430,426,425,423,423,406,406,406,406,406,406,406
Kernel Type,426,426,425,423,423,406,406,406,406,406,406,406
Kernel Color,425,425,425,423,423,406,406,406,406,406,406,406
Ear Length,423,423,423,423,423,404,404,404,404,404,404,404
Kernel row Number,423,423,423,423,423,404,404,404,404,404,404,404
Upper Kernel Shape,406,406,406,404,404,406,406,406,406,406,406,406
Pericarp Color,406,406,406,404,404,406,406,406,406,406,406,406
Aleurone Color,406,406,406,404,404,406,406,406,406,406,406,406
Colored Silk Scar,406,406,406,404,404,406,406,406,406,406,406,406
Endosperm Color,406,406,406,404,404,406,406,406,406,406,406,406
Ear Shape,406,406,406,404,404,406,406,406,406,406,406,406
Glume Development,406,406,406,404,404,406,406,406,406,406,406,406
