Accession Name,accession,n_traits,total_envs,improvement,sra_runs,status
MO18W,PI 550441,34.0,114.0,Breeding material,ERR3307885;SRR11301796;SRR11301797,adopted_in_view21
CML228,PI 690320,29.0,111.0,Breeding material,ERR3307837;ERR3307838;ERR3307839;ERR3307840;SRR8906784,adopted_in_view21
CML277,PI 595550,32.0,111.0,Breeding material,ERR3307845;ERR3307846;ERR3307847;ERR3307848,adopted_in_view21
CI66,PI 587148,36.0,104.0,Breeding material,SRR11301782;SRR11301783,adopted_in_view21
Tzi8,PI 506246,33.0,103.0,Breeding material,ERR3155224;ERR3155516;ERR3155517;ERR3155518,adopted_in_view21
CML287,PI 595565,29.0,95.0,Breeding material,SRR8906951,adopted_in_view21
CML69,PI 690318,30.0,93.0,Breeding material,ERR3307829;ERR3307830;ERR3307831;ERR3307832;SRR5976250;SRR5976252;SRR5976253;SRR5976255;SRR8906963,adopted_in_view21
CML103,PI 690319,29.0,90.0,Breeding material,ERR3307833;ERR3307834;ERR3307835;ERR3307836;SRR5976229,adopted_in_view21
ICI_193,PI 559380,28.0,88.0,Cultivar,ERR10290104;SRR11301939;SRR11301940,adopted_in_view21
CML247,PI 595541,32.0,86.0,Breeding material,ERR3307841;ERR3307842;ERR3307843;ERR3307844,adopted_in_view21
L155,PI 550695,29.0,82.0,Cultivar,ERR10290063,adopted_in_view21
CI7,PI 146368,30.0,76.0,Breeding material,SRR8906907,adopted_in_view21
FE,PI 692201,28.0,75.0,Breeding material,ERR10290087,pending_or_below_15_traits
CI90C,PI 694097,29.0,72.0,Breeding material,ERR10290117,adopted_in_view21
INBRED141,PI 186199,41.0,68.0,Breeding material,ERR10290073,pending_or_below_15_traits
VA59,PI 693326,33.0,66.0,Breeding material,SRR11301730,adopted_in_view21
LP1NRHT,PI 600729,36.0,65.0,Cultivar,ERR10289355,adopted_in_view21
YU796NS,Ames 27196,32.0,65.0,Breeding material,ERR10288611,adopted_in_view21
CML322,PI 690321,31.0,63.0,Breeding material,CRR504861;ERR3307849;ERR3307850;ERR3307851;ERR3307852,adopted_in_view21
MS71,PI 587137,38.0,62.0,Breeding material,ERR3307886;ERR3307887;ERR3307888;ERR3307889,adopted_in_view21
CML323,PI 690610,30.0,61.0,Breeding material,SRR8906921,adopted_in_view21
ICI441,PI 559381,31.0,61.0,Cultivar,CRR505446;ERR10290090;SRR11301936;SRR11301938,adopted_in_view21
CML333,PI 690322,29.0,60.0,Breeding material,CRR504862;ERR3307853;ERR3307854;ERR3307855;ERR3307856,adopted_in_view21
INBRED_100,PI 186197,42.0,59.0,Breeding material,ERR10290079,pending_or_below_15_traits
MO23W,Ames 20116,29.0,58.0,Breeding material,ERR10289351,adopted_in_view21
4F-306_108,PI 198897,45.0,58.0,Breeding material,ERR10290812,adopted_in_view21
CI91B,PI 694098,28.0,56.0,Breeding material,ERR10290115,adopted_in_view21
ICI740,PI 559382,29.0,55.0,Cultivar,ERR10290084;SRR11302125,adopted_in_view21
ICI986,PI 559384,30.0,55.0,Cultivar,CRR505252;ERR10290074,adopted_in_view21
SeagullSeventeen,PI 600751,37.0,55.0,Cultivar,CRR505284,adopted_in_view21
Hp301,PI 587131,42.0,54.0,Breeding material,ERR3307857,adopted_in_view21
IL778D,PI 706561,27.0,53.0,Breeding material,ERR10290072,adopted_in_view21
PA468,PI 517971,19.0,51.0,Breeding material,ERR10289304,adopted_in_view21
CML300,PI 595569,19.0,50.0,Breeding material,SRR8906714,adopted_in_view21
CML40,PI 595560,19.0,48.0,Breeding material,SRR8906879,adopted_in_view21
INBRED2-687,PI 186215,39.0,47.0,Breeding material,ERR10290077,pending_or_below_15_traits
YONG28,Ames 2333,30.0,47.0,Breeding material,ERR10288616,adopted_in_view21
CML61,PI 690581,17.0,46.0,Breeding material,CRR504906,adopted_in_view21
LIBC_4,PI 555650,28.0,45.0,Cultivar,SRR11301947;SRR11301949,adopted_in_view21
MO39,Ames 28937,24.0,40.0,Breeding material,ERR10289345,adopted_in_view21
L289,NSL 65872,20.0,38.0,Breeding material,ERR10290065,adopted_in_view21
De811,PI 550558,31.0,36.0,Breeding material,CRR505119,adopted_in_view21
CML27,PI 595554,20.0,36.0,Breeding material,SRR8906939,adopted_in_view21
L139,PI 601728,31.0,35.0,Cultivar,CRR505335,adopted_in_view21
CML20,PI 595552,20.0,35.0,Breeding material,SRR8907058,adopted_in_view21
OS426,PI 151531,18.0,34.0,Breeding material,ERR10289310,adopted_in_view21
CML32,PI 595558,19.0,34.0,Breeding material,SRR8907035,adopted_in_view21
WF9,PI 146374,28.0,33.0,Breeding material,SRR11301729,adopted_in_view21
CML298,PI 595567,18.0,33.0,Breeding material,SRR8906953,adopted_in_view21
S22,PI 535914,29.0,33.0,Breeding material,SRR8907154,adopted_in_view21
4F-234BX4,PI 198892,30.0,33.0,Breeding material,ERR10290806,adopted_in_view21
CML285,PI 595564,18.0,33.0,Breeding material,SRR8907105,adopted_in_view21
KY228,PI 587136,24.0,32.0,Breeding material,SRR11301787;SRR11301788,adopted_in_view21
RS_710,PI 539930,29.0,32.0,Cultivar,SRR11301916,adopted_in_view21
CI40H,PI 694078,28.0,32.0,Breeding material,ERR10290765,adopted_in_view21
CI540,PI 151090,28.0,32.0,Breeding material,ERR10290756,adopted_in_view21
MO28W,Ames 28928,28.0,32.0,Breeding material,ERR10289347,adopted_in_view21
INBRED_321,PI 186229,30.0,31.0,Breeding material,ERR10290071,pending_or_below_15_traits
INBRED309,PI 186227,29.0,31.0,Breeding material,ERR10290070,pending_or_below_15_traits
ICI893,PI 559383,29.0,31.0,Cultivar,CRR505251;ERR10290089;SRR11301934;SRR11301935,adopted_in_view21
CML304,PI 690605,16.0,31.0,Breeding material,SRR8906960,adopted_in_view21
CML422,Ames 34383,15.0,30.0,Cultivar,SRR8907057,adopted_in_view21
INBRED305,PI 186226,27.0,29.0,Breeding material,ERR10290068,pending_or_below_15_traits
CML31,PI 595557,18.0,29.0,Breeding material,SRR8906790,adopted_in_view21
H122W,PI 698994,27.0,29.0,Breeding material,ERR10290082,adopted_in_view21
CML307,PI 690606,15.0,29.0,Breeding material,SRR8906888,adopted_in_view21
NO-380,PI 303924,28.0,29.0,Breeding material,ERR10289314,adopted_in_view21
INBRED_109,PI 186196,26.0,28.0,Breeding material,ERR10290075,pending_or_below_15_traits
OH3167B,PI 692198,27.0,28.0,Breeding material,ERR10289309,adopted_in_view21
H124W,PI 698996,27.0,28.0,Breeding material,ERR10290080,adopted_in_view21
LH169HT,PI 576170,27.0,27.0,Cultivar,ERR10289978,adopted_in_view21
PA891,PI 531083,21.0,27.0,Breeding material,ERR10289311,adopted_in_view21
CML327,PI 690612,15.0,26.0,Breeding material,SRR8906945,adopted_in_view21
CML395,PI 690627,15.0,26.0,Breeding material,ERR10290749,adopted_in_view21
MO16W,PI 558531,16.0,26.0,Breeding material,ERR10289348,adopted_in_view21
PA392,PI 517968,19.0,25.0,Breeding material,ERR10289306,adopted_in_view21
MO15W,PI 558518,16.0,24.0,Breeding material,ERR10289352,adopted_in_view21
PA778,PI 560081,20.0,24.0,Breeding material,ERR10289301,adopted_in_view21
PA405,Ames 22757,19.0,24.0,Cultivar,ERR10289300,adopted_in_view21
HI28,PI 593010,20.0,23.0,Breeding material,ERR10290086,adopted_in_view21
VA38,Ames 19011,20.0,23.0,Breeding material,ERR10288630,adopted_in_view21
ENG-LICHIH,PI 427109,20.0,22.0,Breeding material,ERR10290099,adopted_in_view21
U-123,PI 369446,21.0,22.0,Breeding material,ERR10288632,adopted_in_view21
K10,PI 369438,20.0,22.0,Breeding material,SRR8906827,adopted_in_view21
NORTH7,Ames 2328,19.0,22.0,Breeding material,ERR10289315,adopted_in_view21
SG-30A,PI 686067,18.0,22.0,Breeding material,ERR10288633,adopted_in_view21
4578INBRED,PI 415086,19.0,21.0,Breeding material,ERR10290818,pending_or_below_15_traits
CML29,PI 595556,19.0,21.0,Breeding material,SRR8906717,adopted_in_view21
HI26,PI 593008,19.0,21.0,Breeding material,ERR10290083,adopted_in_view21
A415-1-3-INBRED,PI 221773,19.0,20.0,Breeding material,ERR10290802,adopted_in_view21
CML282,PI 595562,17.0,18.0,Breeding material,SRR8906973,adopted_in_view21
IA5125B,Ames 27117,17.0,18.0,Breeding material,ERR10290110,adopted_in_view21
CML305,PI 595571,17.0,17.0,Breeding material,SRR8906811,adopted_in_view21
CML28,PI 595555,17.0,17.0,Breeding material,SRR8906876,adopted_in_view21
CML325,PI 690611,15.0,16.0,Breeding material,SRR8907099,adopted_in_view21
CML289,PI 690602,15.0,15.0,Breeding material,SRR8906967,adopted_in_view21
